TransactionID, WeekNumber, EmployeeID, HoursWorked, HourlyWage
TM-1318,25,TL-1006,42,15
TM-1319,25,TL-1007,47,15
TM-1320,25,TL-1008,38,15
TM-1321,25,TL-1009,45,15
TM-1322,25,TL-1010,34,15
TM-1323,25,TL-1011,44,15
TM-1324,25,TL-1012,40,15
TM-1325,26,TL-1000,49,15
TM-1326,26,TL-1001,35,15
TM-1327,26,TL-1002,32,15
TM-1328,26,TL-1003,47,15
TM-1329,26,TL-1004,32,15
TM-1330,26,TL-1005,32,15
TM-1331,26,TL-1006,55,15
TM-1332,26,TL-1007,30,15
TM-1333,26,TL-1008,52,15
TM-1334,26,TL-1009,50,15
TM-1335,26,TL-1010,35,15
TM-1336,26,TL-1011,50,15
TM-1337,26,TL-1012,41,15
TM-1338,27,TL-1000,44,15
TM-1339,27,TL-1001,46,15
TM-1340,27,TL-1002,50,15
TM-1341,27,TL-1003,48,15
TM-1342,27,TL-1004,43,15
TM-1343,27,TL-1005,55,15
TM-1344,27,TL-1006,49,15
TM-1345,27,TL-1007,44,15
TM-1346,27,TL-1008,49,15
TM-1347,27,TL-1009,49,15
TM-1348,27,TL-1010,41,15
TM-1349,27,TL-1011,44,15
TM-1350,27,TL-1012,56,15
TM-1351,28,TL-1000,32,15
TM-1352,28,TL-1001,53,15
TM-1353,28,TL-1002,53,15
TM-1354,28,TL-1003,40,15
TM-1355,28,TL-1004,39,15
TM-1356,28,TL-1005,43,15
TM-1357,28,TL-1006,42,15
TM-1358,28,TL-1007,44,15
TM-1359,28,TL-1008,32,15
TM-1360,28,TL-1009,30,15
TM-1361,28,TL-1010,46,15
TM-1362,28,TL-1011,34,15
TM-1363,28,TL-1012,35,15
TM-1364,29,TL-1000,40,15
TM-1365,29,TL-1001,35,15
TM-1366,29,TL-1002,35,15
TM-1367,29,TL-1003,51,15
TM-1368,29,TL-1004,45,15
TM-1369,29,TL-1005,52,15
TM-1370,29,TL-1006,44,15
TM-1371,29,TL-1007,56,15
TM-1372,29,TL-1008,48,15
TM-1373,29,TL-1009,49,15
TM-1374,29,TL-1010,35,15
TM-1375,29,TL-1011,47,15
TM-1376,29,TL-1012,34,15
TM-1377,30,TL-1000,53,15
TM-1378,30,TL-1001,43,15
TM-1379,30,TL-1002,33,15
TM-1380,30,TL-1003,54,15
TM-1381,30,TL-1004,34,15
TM-1382,30,TL-1005,35,15
TM-1383,30,TL-1006,31,15
TM-1384,30,TL-1007,50,15
TM-1385,30,TL-1008,54,15
TM-1386,30,TL-1009,42,15
TM-1387,30,TL-1010,47,15
TM-1388,30,TL-1011,39,15
TM-1389,30,TL-1012,39,15
TM-1390,31,TL-1000,32,15
TM-1391,31,TL-1001,42,15
TM-1392,31,TL-1002,35,15
TM-1393,31,TL-1003,53,15
TM-1394,31,TL-1004,34,15
TM-1395,31,TL-1005,54,15
TM-1396,31,TL-1006,35,15
TM-1397,31,TL-1007,44,15
TM-1398,31,TL-1008,38,15
TM-1399,31,TL-1009,55,15
TM-1400,31,TL-1010,44,15
TM-1401,31,TL-1011,38,15
TM-1402,31,TL-1012,34,15
TM-1403,32,TL-1000,54,15
TM-1404,32,TL-1001,54,15
TM-1405,32,TL-1002,31,15
TM-1406,32,TL-1003,36,15
TM-1407,32,TL-1004,42,15
TM-1408,32,TL-1005,54,15
TM-1409,32,TL-1006,30,15
TM-1410,32,TL-1007,49,15
TM-1411,32,TL-1008,56,15
TM-1412,32,TL-1009,56,15
TM-1413,32,TL-1010,48,15
TM-1414,32,TL-1011,48,15
TM-1415,32,TL-1012,35,15
TM-1416,33,TL-1000,43,15
TM-1417,33,TL-1001,49,15
TM-1418,33,TL-1002,55,15
TM-1419,33,TL-1003,32,15
TM-1420,33,TL-1004,40,15
TM-1421,33,TL-1005,54,15
TM-1422,33,TL-1006,53,15
TM-1423,33,TL-1007,54,15
TM-1424,33,TL-1008,42,15
TM-1425,33,TL-1009,46,15
TM-1426,33,TL-1010,35,15
TM-1427,33,TL-1011,56,15
TM-1428,33,TL-1012,41,15
TM-1429,34,TL-1000,46,15
TM-1430,34,TL-1001,42,15
TM-1431,34,TL-1002,32,15
TM-1432,34,TL-1003,39,15
TM-1433,34,TL-1004,35,15
TM-1434,34,TL-1005,45,15
TM-1435,34,TL-1006,35,15
TM-1436,34,TL-1007,39,15
TM-1437,34,TL-1008,47,15
TM-1438,34,TL-1009,31,15
TM-1439,34,TL-1010,45,15
TM-1440,34,TL-1011,37,15
TM-1441,34,TL-1012,53,15
TM-1442,35,TL-1000,34,15
TM-1443,35,TL-1001,46,15
TM-1444,35,TL-1002,54,15
TM-1445,35,TL-1003,47,15
TM-1446,35,TL-1004,34,15
TM-1447,35,TL-1005,49,15
TM-1448,35,TL-1006,42,15
TM-1449,35,TL-1007,37,15
TM-1450,35,TL-1008,33,15
TM-1451,35,TL-1009,47,15
TM-1452,35,TL-1010,43,15
TM-1453,35,TL-1011,47,15
TM-1454,35,TL-1012,42,15
TM-1455,36,TL-1000,47,15
TM-1456,36,TL-1001,49,15
TM-1457,36,TL-1002,33,15
TM-1458,36,TL-1003,47,15
TM-1459,36,TL-1004,40,15
TM-1460,36,TL-1005,32,15
TM-1461,36,TL-1006,36,15
TM-1462,36,TL-1007,46,15
TM-1463,36,TL-1008,30,15
TM-1464,36,TL-1009,34,15
TM-1465,36,TL-1010,45,15
TM-1466,36,TL-1011,55,15
TM-1467,36,TL-1012,38,15
TM-1468,37,TL-1000,30,15
TM-1469,37,TL-1001,35,15
TM-1470,37,TL-1002,33,15
TM-1471,37,TL-1003,51,15
TM-1472,37,TL-1004,52,15
TM-1473,37,TL-1005,38,15
TM-1474,37,TL-1006,41,15
TM-1475,37,TL-1007,54,15
TM-1476,37,TL-1008,53,15
TM-1477,37,TL-1009,35,15
TM-1478,37,TL-1010,36,15
TM-1479,37,TL-1011,51,15
TM-1480,37,TL-1012,46,15
TM-1481,38,TL-1000,32,15
TM-1482,38,TL-1001,36,15
TM-1483,38,TL-1002,36,15
TM-1484,38,TL-1003,52,15
TM-1485,38,TL-1004,30,15
TM-1486,38,TL-1005,43,15
TM-1487,38,TL-1006,44,15
TM-1488,38,TL-1007,41,15
TM-1489,38,TL-1008,49,15
TM-1490,38,TL-1009,53,15
TM-1491,38,TL-1010,52,15
TM-1492,38,TL-1011,53,15
TM-1493,38,TL-1012,31,15
TM-1494,39,TL-1000,38,15
TM-1495,39,TL-1001,39,15
TM-1496,39,TL-1002,46,15
TM-1497,39,TL-1003,41,15
TM-1498,39,TL-1004,51,15
TM-1499,39,TL-1005,38,15
TM-1500,39,TL-1006,30,15
TM-1501,39,TL-1007,44,15
TM-1502,39,TL-1008,39,15
TM-1503,39,TL-1009,50,15
TM-1504,39,TL-1010,44,15
TM-1505,39,TL-1011,42,15
TM-1506,39,TL-1012,53,15
TM-1507,40,TL-1000,50,15
TM-1508,40,TL-1001,35,15
TM-1509,40,TL-1002,30,15
TM-1510,40,TL-1003,43,15
TM-1511,40,TL-1004,36,15
TM-1512,40,TL-1005,56,15
TM-1513,40,TL-1006,40,15
TM-1514,40,TL-1007,40,15
TM-1515,40,TL-1008,39,15
TM-1516,40,TL-1009,50,15
TM-1517,40,TL-1010,52,15
TM-1518,40,TL-1011,39,15
TM-1519,40,TL-1012,46,15
TM-1520,41,TL-1000,47,15
TM-1521,41,TL-1001,30,15
TM-1522,41,TL-1002,38,15
TM-1523,41,TL-1003,48,15
TM-1524,41,TL-1004,52,15
TM-1525,41,TL-1005,49,15
TM-1526,41,TL-1006,48,15
TM-1527,41,TL-1007,40,15
TM-1528,41,TL-1008,38,15
TM-1529,41,TL-1009,33,15
TM-1530,41,TL-1010,51,15
TM-1531,41,TL-1011,32,15
TM-1532,41,TL-1012,56,15
TM-1533,42,TL-1000,43,15
TM-1534,42,TL-1001,38,15
TM-1535,42,TL-1002,43,15
TM-1536,42,TL-1003,56,15
TM-1537,42,TL-1004,44,15
TM-1538,42,TL-1005,44,15
TM-1539,42,TL-1006,44,15
TM-1540,42,TL-1007,31,15
TM-1541,42,TL-1008,34,15
TM-1542,42,TL-1009,37,15
TM-1543,42,TL-1010,32,15
TM-1544,42,TL-1011,34,15
TM-1545,42,TL-1012,52,15
TM-1546,43,TL-1000,53,15
TM-1547,43,TL-1001,46,15
TM-1548,43,TL-1002,46,15
TM-1549,43,TL-1003,54,15
TM-1550,43,TL-1004,38,15
TM-1551,43,TL-1005,35,15
TM-1552,43,TL-1006,38,15
TM-1553,43,TL-1007,45,15
TM-1554,43,TL-1008,43,15
TM-1555,43,TL-1009,47,15
TM-1556,43,TL-1010,49,15
TM-1557,43,TL-1011,36,15
TM-1558,43,TL-1012,34,15
TM-1559,44,TL-1000,36,15
TM-1560,44,TL-1001,35,15
TM-1561,44,TL-1002,30,15
TM-1562,44,TL-1003,51,15
TM-1563,44,TL-1004,44,15
TM-1564,44,TL-1005,30,15
TM-1565,44,TL-1006,49,15
TM-1566,44,TL-1007,51,15
TM-1567,44,TL-1008,30,15
TM-1568,44,TL-1009,42,15
TM-1569,44,TL-1010,42,15
TM-1570,44,TL-1011,55,15
TM-1571,44,TL-1012,53,15
TM-1572,45,TL-1000,44,15
TM-1573,45,TL-1001,36,15
TM-1574,45,TL-1002,55,15
TM-1575,45,TL-1003,43,15
TM-1576,45,TL-1004,43,15
TM-1577,45,TL-1005,36,15
TM-1578,45,TL-1006,52,15
TM-1579,45,TL-1007,40,15
TM-1580,45,TL-1008,33,15
TM-1581,45,TL-1009,48,15
TM-1582,45,TL-1010,39,15
TM-1583,45,TL-1011,52,15
TM-1584,45,TL-1012,30,15
TM-1585,46,TL-1000,54,15
TM-1586,46,TL-1001,33,15
TM-1587,46,TL-1002,33,15
TM-1588,46,TL-1003,43,15
TM-1589,46,TL-1004,39,15
TM-1590,46,TL-1005,34,15
TM-1591,46,TL-1006,38,15
TM-1592,46,TL-1007,32,15
TM-1593,46,TL-1008,45,15
TM-1594,46,TL-1009,42,15
TM-1595,46,TL-1010,45,15
TM-1596,46,TL-1011,53,15
TM-1597,46,TL-1012,36,15
TM-1598,47,TL-1000,51,15
TM-1599,47,TL-1001,49,15
TM-1600,47,TL-1002,30,15
TM-1601,47,TL-1003,49,15
TM-1602,47,TL-1004,31,15
TM-1603,47,TL-1005,41,15
TM-1604,47,TL-1006,49,15
TM-1605,47,TL-1007,52,15
TM-1606,47,TL-1008,46,15
TM-1607,47,TL-1009,36,15
TM-1608,47,TL-1010,38,15
TM-1609,47,TL-1011,48,15
TM-1610,47,TL-1012,32,15
TM-1611,48,TL-1000,37,15
TM-1612,48,TL-1001,43,15
TM-1613,48,TL-1002,51,15
TM-1614,48,TL-1003,35,15
TM-1615,48,TL-1004,53,15
TM-1616,48,TL-1005,45,15
TM-1617,48,TL-1006,44,15
TM-1618,48,TL-1007,56,15
TM-1619,48,TL-1008,39,15
TM-1620,48,TL-1009,49,15
TM-1621,48,TL-1010,40,15
TM-1622,48,TL-1011,38,15
TM-1623,48,TL-1012,35,15
TM-1624,49,TL-1000,45,15
TM-1625,49,TL-1001,36,15
TM-1626,49,TL-1002,32,15
TM-1627,49,TL-1003,39,15
TM-1628,49,TL-1004,49,15
TM-1629,49,TL-1005,43,15
TM-1630,49,TL-1006,44,15
TM-1631,49,TL-1007,36,15
TM-1632,49,TL-1008,38,15
TM-1633,49,TL-1009,48,15
TM-1634,49,TL-1010,53,15
TM-1635,49,TL-1011,45,15
TM-1636,49,TL-1012,42,15
TM-1637,50,TL-1000,53,15
TM-1638,50,TL-1001,37,15
TM-1639,50,TL-1002,49,15
TM-1640,50,TL-1003,47,15
TM-1641,50,TL-1004,50,15
TM-1642,50,TL-1005,42,15
TM-1643,50,TL-1006,42,15
TM-1644,50,TL-1007,34,15
TM-1645,50,TL-1008,39,15
TM-1646,50,TL-1009,46,15
TM-1647,50,TL-1010,34,15
TM-1648,50,TL-1011,53,15
TM-1649,50,TL-1012,34,15
TM-1650,51,TL-1000,46,15
TM-1651,51,TL-1001,56,15
TM-1652,51,TL-1002,32,15
TM-1653,51,TL-1003,32,15
TM-1654,51,TL-1004,52,15
TM-1655,51,TL-1005,33,15
TM-1656,51,TL-1006,40,15
TM-1657,51,TL-1007,31,15
TM-1658,51,TL-1008,53,15
TM-1659,51,TL-1009,50,15
TM-1660,51,TL-1010,35,15
TM-1661,51,TL-1011,54,15
TM-1662,51,TL-1012,39,15
TM-1663,52,TL-1000,35,15
TM-1664,52,TL-1001,33,15
TM-1665,52,TL-1002,30,15
TM-1666,52,TL-1003,34,15
TM-1667,52,TL-1004,46,15
TM-1668,52,TL-1005,42,15
TM-1669,52,TL-1006,31,15
TM-1670,52,TL-1007,32,15
TM-1671,52,TL-1008,43,15
TM-1672,52,TL-1009,37,15
TM-1673,52,TL-1010,45,15
TM-1674,52,TL-1011,44,15
TM-1675,52,TL-1012,32,15
